family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20
1,25,123,2,,,,,,,,,,,,,,,,,
1,8,145,36,170,136,146,91,52,60,,,,,,,,,,,
1,124,93,89,147,106,71,157,3,154,85,79,156,115,165,151,117,37,,,
1,143,14,59,153,129,159,66,70,23,7,65,49,26,80,152,17,45,139,29,98
1,87,101,140,138,128,161,125,64,113,173,103,55,6,,,,,,,
1,142,20,104,90,46,54,38,96,141,77,110,33,34,118,150,112,,,,
1,9,51,155,78,11,97,163,16,15,121,,,,,,,,,,
1,18,24,81,148,1,92,168,5,134,100,41,169,116,,,,,,,
1,21,75,12,109,35,102,171,57,19,84,,,,,,,,,,
1,99,172,144,22,88,67,56,127,44,61,,,,,,,,,,
1,95,43,86,48,122,42,63,10,82,68,50,,,,,,,,,
1,175,69,31,94,73,74,167,32,28,107,164,158,120,27,62,111,132,135,,
1,105,30,47,53,162,130,4,72,160,58,,,,,,,,,,
1,39,126,166,137,131,149,108,76,114,13,,,,,,,,,,
1,174,133,83,40,119,,,,,,,,,,,,,,,
