family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19
1,29,103,194,165,317,47,46,,,,,,,,,,,,
1,240,116,52,81,119,274,236,152,180,184,168,219,,,,,,,
1,40,169,280,67,245,58,114,282,17,296,132,313,,,,,,,
1,118,299,14,2,18,25,232,174,176,215,,,,,,,,,
1,3,238,15,193,262,32,264,13,275,172,26,51,223,155,112,143,209,182,250
1,72,233,217,316,,,,,,,,,,,,,,,
1,88,253,211,125,322,177,151,320,273,,,,,,,,,,
1,48,71,145,189,239,149,91,99,9,43,,,,,,,,,
1,256,66,207,310,123,93,266,19,76,191,82,314,34,80,,,,,
1,173,100,111,272,30,150,252,200,55,1,33,,,,,,,,
1,108,162,95,122,126,303,83,121,161,105,297,229,,,,,,,
1,258,257,315,160,242,153,45,101,230,175,36,10,16,,,,,,
1,228,304,203,224,115,251,44,271,281,94,204,11,64,60,68,,,,
1,298,23,197,220,79,90,127,,,,,,,,,,,,
1,270,295,110,107,188,222,129,241,,,,,,,,,,,
1,65,183,278,35,,,,,,,,,,,,,,,
1,293,120,22,154,289,12,141,225,321,146,38,227,277,104,247,,,,
1,234,7,199,136,318,98,243,171,133,195,164,213,4,231,,,,,
1,96,53,69,6,130,167,124,268,5,202,284,84,27,,,,,,
1,86,265,237,301,50,185,288,8,186,140,218,305,57,,,,,,
1,307,92,287,131,319,148,24,156,279,302,63,,,,,,,,
1,85,246,134,144,178,226,269,102,260,158,75,235,,,,,,,
1,190,170,311,283,290,254,70,73,159,208,39,139,89,,,,,,
1,166,192,78,263,20,142,286,261,267,147,28,,,,,,,,
1,292,137,309,113,308,61,106,87,97,249,77,,,,,,,,
1,248,259,214,135,205,255,210,294,41,306,157,117,,,,,,,
1,196,62,244,300,206,49,42,198,212,221,56,21,,,,,,,
1,59,138,54,323,128,216,179,291,285,312,74,31,163,37,187,,,,
2,276,201,181,109,,,,,,,,,,,,,,,
