family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41
2,328,21,295,309,24,17,45,292,445,198,356,320,77,249,75,87,106,379,171,138,390,36,464,147,,,,,,,,,,,,,,,,,
3,317,4,15,223,377,199,61,82,184,318,214,62,484,83,424,279,11,180,367,31,67,372,314,408,151,399,322,135,113,226,485,336,488,124,56,423,73,120,,,
3,108,303,41,401,183,125,28,234,140,132,189,99,163,20,10,102,179,308,324,468,176,436,362,357,149,290,285,119,261,130,228,418,60,153,219,,,,,,
3,127,116,391,480,492,370,78,167,422,133,136,230,103,411,364,59,258,192,240,439,39,139,305,417,301,388,250,50,398,275,141,148,29,495,371,237,353,,,,
3,18,2,175,96,465,224,251,94,64,264,420,474,247,400,394,441,16,92,386,385,284,457,86,351,164,481,276,300,7,9,267,121,30,255,122,460,476,79,,,
3,110,131,142,341,325,233,311,473,159,329,363,453,128,283,358,333,313,298,302,479,463,397,217,447,221,342,406,448,104,107,257,40,209,462,296,215,93,304,,,
3,143,105,345,382,49,46,405,369,430,158,236,51,344,312,443,246,55,493,334,48,145,43,482,229,437,185,477,241,419,208,274,449,396,26,170,,,,,,
3,327,182,238,265,402,354,205,340,310,22,256,319,14,177,381,323,54,144,253,154,444,42,191,254,112,235,98,273,469,32,392,210,374,80,326,435,231,,,,
3,456,414,412,446,5,288,3,458,380,415,206,315,248,338,244,383,212,282,123,101,434,63,269,272,483,203,452,330,349,410,66,496,95,425,,,,,,,
3,174,286,137,335,172,195,407,346,6,281,207,178,277,38,227,263,270,35,413,65,487,134,490,1,90,429,160,373,13,,,,,,,,,,,,
3,299,118,115,478,204,278,44,472,271,289,366,12,321,225,69,451,186,431,387,8,252,68,146,361,53,89,365,421,352,467,360,27,428,307,,,,,,,
3,91,232,332,57,239,260,19,166,155,74,376,161,220,23,197,455,126,150,427,85,76,190,459,339,34,337,294,71,168,100,416,450,393,280,466,33,52,181,200,70,173
3,259,440,194,395,188,81,193,196,489,58,426,162,266,213,432,293,297,454,404,187,242,222,368,84,438,470,384,47,348,491,475,157,117,268,433,306,316,375,,,
3,355,350,389,403,114,218,262,88,72,156,37,211,287,245,331,111,169,471,152,409,442,25,378,486,165,243,494,291,201,97,202,347,343,359,129,461,109,216,,,
